1,32,0.695000,
1,64,0.422000,
1,96,0.577000,
1,128,0.715000,
1,160,0.447000,
1,192,0.507000,
1,224,0.537000,
1,256,0.464000,
1,288,0.510000,
1,320,0.499000,
1,352,0.498000,
1,384,0.517000,
1,416,0.628000,
1,448,0.967000,
1,480,0.545000,
1,512,0.523000,
2,32,0.406000,
2,64,0.436000,
2,96,0.478000,
2,128,0.458000,
2,160,0.455000,
2,192,0.485000,
2,224,0.464000,
2,256,0.511000,
2,288,0.536000,
2,320,0.478000,
2,352,0.630000,
2,384,0.512000,
2,416,0.506000,
2,448,0.517000,
2,480,0.523000,
2,512,0.572000,
3,32,0.810000,
3,64,0.419000,
3,96,0.466000,
3,128,0.581000,
3,160,0.453000,
3,192,0.507000,
3,224,0.591000,
3,256,0.480000,
3,288,0.480000,
3,320,0.572000,
3,352,0.509000,
3,384,0.852000,
3,416,0.515000,
3,448,0.524000,
3,480,0.589000,
3,512,0.533000,
4,32,0.611000,
4,64,0.433000,
4,96,0.435000,
4,128,0.464000,
4,160,0.450000,
4,192,0.467000,
4,224,0.606000,
4,256,0.471000,
4,288,0.491000,
4,320,0.525000,
4,352,0.487000,
4,384,0.505000,
4,416,0.513000,
4,448,0.519000,
4,480,0.540000,
4,512,0.530000,
5,32,0.566000,
5,64,0.447000,
5,96,0.478000,
5,128,0.726000,
5,160,0.496000,
5,192,0.470000,
5,224,0.517000,
5,256,0.478000,
5,288,0.667000,
5,320,0.483000,
5,352,0.493000,
5,384,0.516000,
5,416,0.515000,
5,448,0.583000,
5,480,0.563000,
5,512,0.548000,
6,32,0.426000,
6,64,0.428000,
6,96,0.440000,
6,128,0.463000,
6,160,0.485000,
6,192,0.458000,
6,224,0.508000,
6,256,0.849000,
6,288,0.511000,
6,320,0.830000,
6,352,0.517000,
6,384,0.533000,
6,416,0.519000,
6,448,0.529000,
6,480,0.530000,
6,512,0.547000,
7,32,0.430000,
7,64,0.426000,
7,96,0.481000,
7,128,0.456000,
7,160,0.532000,
7,192,0.477000,
7,224,0.818000,
7,256,0.587000,
7,288,0.500000,
7,320,0.496000,
7,352,0.499000,
7,384,0.824000,
7,416,0.533000,
7,448,0.553000,
7,480,0.541000,
7,512,0.555000,
8,32,0.444000,
8,64,0.431000,
8,96,0.429000,
8,128,0.497000,
8,160,0.475000,
8,192,0.491000,
8,224,0.475000,
8,256,0.489000,
8,288,0.503000,
8,320,0.484000,
8,352,0.553000,
8,384,0.525000,
8,416,0.564000,
8,448,0.531000,
8,480,0.534000,
8,512,0.560000,
9,32,0.530000,
9,64,0.434000,
9,96,0.483000,
9,128,0.482000,
9,160,0.480000,
9,192,0.785000,
9,224,0.480000,
9,256,0.479000,
9,288,0.492000,
9,320,0.487000,
9,352,0.791000,
9,384,0.746000,
9,416,0.530000,
9,448,0.534000,
9,480,0.561000,
9,512,0.537000,
10,32,0.444000,
10,64,0.435000,
10,96,0.923000,
10,128,0.452000,
10,160,0.467000,
10,192,0.522000,
10,224,0.489000,
10,256,0.491000,
10,288,0.479000,
10,320,0.503000,
10,352,0.492000,
10,384,0.818000,
10,416,0.513000,
10,448,0.557000,
10,480,0.543000,
10,512,0.588000,
11,32,0.446000,
11,64,0.433000,
11,96,0.451000,
11,128,0.459000,
11,160,0.743000,
11,192,0.756000,
11,224,0.483000,
11,256,0.482000,
11,288,0.486000,
11,320,0.855000,
11,352,0.596000,
11,384,0.642000,
11,416,0.697000,
11,448,0.800000,
11,480,0.555000,
11,512,0.534000,
12,32,0.441000,
12,64,0.425000,
12,96,0.499000,
12,128,0.711000,
12,160,0.473000,
12,192,0.486000,
12,224,0.485000,
12,256,0.489000,
12,288,0.481000,
12,320,0.499000,
12,352,0.544000,
12,384,0.856000,
12,416,0.543000,
12,448,0.532000,
12,480,0.546000,
12,512,0.630000,
13,32,0.422000,
13,64,0.545000,
13,96,0.446000,
13,128,0.447000,
13,160,0.457000,
13,192,0.456000,
13,224,0.480000,
13,256,0.488000,
13,288,0.778000,
13,320,0.499000,
13,352,0.598000,
13,384,0.526000,
13,416,0.536000,
13,448,0.670000,
13,480,0.542000,
13,512,0.694000,
14,32,0.431000,
14,64,0.438000,
14,96,0.447000,
14,128,0.461000,
14,160,0.474000,
14,192,0.511000,
14,224,0.485000,
14,256,0.494000,
14,288,0.488000,
14,320,0.486000,
14,352,0.579000,
14,384,0.524000,
14,416,0.604000,
14,448,0.582000,
14,480,0.541000,
14,512,0.531000,
15,32,0.418000,
15,64,0.441000,
15,96,0.446000,
15,128,0.479000,
15,160,0.484000,
15,192,0.718000,
15,224,0.497000,
15,256,0.475000,
15,288,0.481000,
15,320,0.500000,
15,352,0.544000,
15,384,0.608000,
15,416,0.669000,
15,448,0.542000,
15,480,0.543000,
15,512,0.536000,
16,32,0.574000,
16,64,0.434000,
16,96,0.851000,
16,128,0.444000,
16,160,0.485000,
16,192,0.462000,
16,224,0.486000,
16,256,0.487000,
16,288,0.492000,
16,320,0.492000,
16,352,0.618000,
16,384,0.533000,
16,416,0.518000,
16,448,0.523000,
16,480,0.674000,
16,512,0.604000,
17,32,0.933000,
17,64,0.445000,
17,96,0.463000,
17,128,0.462000,
17,160,0.458000,
17,192,0.467000,
17,224,0.486000,
17,256,0.504000,
17,288,0.670000,
17,320,0.492000,
17,352,0.520000,
17,384,0.567000,
17,416,0.512000,
17,448,0.552000,
17,480,0.544000,
17,512,0.565000,
18,32,0.434000,
18,64,0.494000,
18,96,0.442000,
18,128,0.451000,
18,160,0.455000,
18,192,0.475000,
18,224,0.472000,
18,256,0.608000,
18,288,0.577000,
18,320,0.493000,
18,352,0.544000,
18,384,0.514000,
18,416,0.650000,
18,448,0.649000,
18,480,0.662000,
18,512,0.736000,
19,32,0.599000,
19,64,0.418000,
19,96,0.438000,
19,128,0.476000,
19,160,0.825000,
19,192,0.469000,
19,224,0.511000,
19,256,0.478000,
19,288,0.485000,
19,320,0.497000,
19,352,0.495000,
19,384,0.510000,
19,416,0.530000,
19,448,0.533000,
19,480,0.540000,
19,512,0.533000,
